Wavelength (nm)	Abs. Coeff.
1020	0.001483891
1021	0.000781381
1022	0.002120126
1023	0.002526582
1024	0.006809032
1025	0.00090831
1026	0.001816496
1027	0.001706812
1028	0.001959319
1029	0.002219164
1030	0.000527707
1031	0.001217956
1032	0.000453764
1033	0.000519783
1034	0.000197766
1035	2.64E-06
1036	0.000393041
1037	0
1038	3.43E-05
1039	0.000131828
1040	5.27E-06
1041	0.000139739
1042	0
1043	0
1044	0
1045	0
1046	0
1047	0
1048	1.85E-05
1049	2.64E-05
1050	2.64E-05
1051	2.64E-05
1052	2.64E-05
1053	2.64E-05
1054	2.64E-05
1055	7.38E-05
1056	0.000134465
1057	0.00010282
1058	0.000123916
1059	0.000276914
1060	0.000118642
1061	0.00020568
1062	0.000662441
1063	0.000855416
1064	8.96E-05
1065	0.00161178
1066	0.000279553
1067	0.00119942
1068	0.002032082
1069	0.002837614
1070	0.005530753
1071	0.001265626
1072	0.005514906
1073	0.004629491
1074	0.001027362
1075	0.014605284
1076	0.00301897
1077	0.010930981
1078	0.01345376
1079	0.002326234
1080	0.017393234
1081	0.018587247
1082	0.00841146
1083	0.006516271
1084	0.028150397
1085	0.013791179
1086	0.054744215
1087	0.019161981
1088	0.010875504
1089	0.024020495
1090	0.042997019
1091	0.016011419
1092	0.012027437
1093	0.077496823
1094	0.019627158
1095	0.056565007
1096	0.077914023
1097	0.011577542
1098	0.078010334
1099	0.068894017
1100	0.110408668
1101	0.096440129
1102	0.111677544
1103	0.126102158
1104	0.123549638
1105	0.079327879
1106	0.203994519
1107	0.100950257
1108	0.181712588
1109	0.186707565
1110	0.103922851
1111	0.40712752
1112	0.185280883
1113	0.541306939
1114	0.443406569
1115	0.753588153
1116	0.7633333
1117	2.969486171
1118	0.787008708
1119	1.412939089
1120	1.085599678
1121	0.840878923
1122	3.159234147
1123	1.278829292
1124	1.597687714
1125	1.132678334
1126	3.952684135
1127	0.973098321
1128	1.340479676
1129	1.357635059
1130	3.091647838
1131	0.341872369
1132	0.621317728
